it.geosolutions.jaiext.rescale:jt-rescale	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.rlookup:jt-rlookup	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.scale:jt-scale	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.stats:jt-stats	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.translate:jt-translate	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.utilities:jt-utilities	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.vectorbin:jt-vectorbin	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.warp:jt-warp	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
it.geosolutions.jaiext.zonal:jt-zonal	1.0.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10644	new
joda-time:joda-time	2.3	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8427	approved
log4j:log4j	1.2.17	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8692	approved
net.iharder:base64	2.3.8	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10304	approved
net.java.dev.jsr-275:jsr-275	1.0-beta-2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10628	new (piggyback)
net.minidev:asm	1.0.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10630	new
net.minidev:json-smart	2.1.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10629	new (piggyback)
net.sf.geographiclib:GeographicLib-Java	1.44	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10649	new
org.apache.accumulo:accumulo-core	1.6.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9579	approved
org.apache.accumulo:accumulo-fate	1.6.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9579	approved
org.apache.accumulo:accumulo-start	1.6.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9579	approved
org.apache.accumulo:accumulo-trace	1.6.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9579	approved
org.apache.avro:avro	1.7.5	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8506	approved
org.apache.camel:camel-core	2.15.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9578	approved
org.apache.camel:camel-scala	2.15.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9578	approved
org.apache.commons:commons-compress	1.4.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8671	approved
org.apache.commons:commons-csv	1.0	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8580	approved
org.apache.commons:commons-lang3	3.3.2	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=9081	approved
org.apache.commons:commons-math	2.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10632	new (piggyback)
org.apache.commons:commons-vfs2	2.0	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=8500	approved
org.apache.curator:curator-client	2.4.0	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10633	new
org.apache.curator:curator-client	2.7.1	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10300	approved
org.apache.curator:curator-framework	2.4.0	compile	https://dev.eclipse.org/ipzilla/show_bug.cgi?id=10633	new
